종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"002787","진흥기업2우B","KOSPI","건설","9600","-80","-0.83","2830156800"
"002785","진흥기업우B","KOSPI","건설","3130","0","0.00","2683092340"
"009310","참엔지니어링","KOSPI","기계·장비","293","-5","-1.68","24866153767"
"000650","천일고속","KOSPI","운송·창고","38300","-250","-0.65","54739126000"
"012600","청호ICT","KOSPI","기계·장비","2490","0","0.00","116119947330"
"033250","체시스","KOSPI","운송장비·부품","1100","-33","-2.91","35200000000"
"035720","카카오","KOSPI","IT 서비스","43600","950","2.23","19346236995200"
"323410","카카오뱅크","KOSPI","은행","22950","-100","-0.43","10946602344150"
"377300","카카오페이","KOSPI","기타금융","32050","50","0.16","4316081228050"
"006380","카프로","KOSPI","화학","3660","0","0.00","618539985360"
"001620","케이비아이동국실업","KOSPI","운송장비·부품","491","2","0.41","54644878221"
"029460","케이씨","KOSPI","의료·정밀기기","18360","-210","-1.13","242925988680"
"281820","케이씨텍","KOSPI","의료·정밀기기","36750","-1100","-2.91","760369370250"
"381970","케이카","KOSPI","유통","13330","60","0.45","642267033090"
"145270","케이탑리츠","KOSPI","부동산","979","-4","-0.41","47051497746"
"417310","코람코더원리츠","KOSPI","부동산","4950","10","0.20","199980000000"
"357120","코람코라이프인프라리츠","KOSPI","부동산","4500","5","0.11","438009093000"
"007815","코리아써우","KOSPI","전기·전자","5970","50","0.84","17699199300"
"007810","코리아써키트","KOSPI","전기·전자","12430","180","1.47","293605934930"
"00781K","코리아써키트2우B","KOSPI","전기·전자","5400","-100","-1.82","4231974600"
"003690","코리안리","KOSPI","보험","8110","10","0.12","1579998561410"
"192820","코스맥스","KOSPI","화학","180500","-100","-0.06","2048586374500"
"044820","코스맥스비티아이","KOSPI","기타금융","10190","140","1.39","97863954990"
"005070","코스모신소재","KOSPI","화학","48050","-1200","-2.44","1562141825800"
"005420","코스모화학","KOSPI","화학","18290","-610","-3.23","702486490120"
"071950","코아스","KOSPI","기타제조","9500","-170","-1.76","31261840000"
"002020","코오롱","KOSPI","기타금융","25800","750","2.99","325761790800"
"138490","코오롱ENP","KOSPI","화학","5980","-40","-0.66","227240000000"
"003070","코오롱글로벌","KOSPI","건설","8790","20","0.23","166418547270"
"003075","코오롱글로벌우","KOSPI","건설","15190","-280","-1.81","11251795030"
"450140","코오롱모빌리티그룹","KOSPI","유통","3120","-125","-3.85","195865020000"
"45014K","코오롱모빌리티그룹우","KOSPI","유통","5030","0","0.00","12354283600"
"002025","코오롱우","KOSPI","기타금융","15390","250","1.65","16565642100"
"120110","코오롱인더","KOSPI","화학","31200","-250","-0.79","858595639200"
"120115","코오롱인더우","KOSPI","화학","19440","-60","-0.31","53807198400"
"021240","코웨이","KOSPI","일반서비스","87200","200","0.23","6327558564000"
"036420","콘텐트리중앙","KOSPI","오락·문화","8600","280","3.37","165655848800"
"024720","콜마홀딩스","KOSPI","기타금융","9210","-290","-3.05","315868545390"
"031820","콤텍시스템","KOSPI","IT 서비스","596","1","0.17","72146673736"
"192400","쿠쿠홀딩스","KOSPI","기타금융","22100","0","0.00","785924288500"
"284740","쿠쿠홈시스","KOSPI","일반서비스","21350","0","0.00","479036995500"
"264900","크라운제과","KOSPI","음식료·담배","8200","20","0.24","102695570000"
"26490K","크라운제과우","KOSPI","음식료·담배","9320","20","0.22","7209579200"
"005740","크라운해태홀딩스","KOSPI","기타금융","5390","-60","-1.10","80027200330"
"005745","크라운해태홀딩스우","KOSPI","기타금융","7680","0","0.00","4613575680"
"259960","크래프톤","KOSPI","IT 서비스","325000","-3500","-1.07","15570197175000"
"020120","키다리스튜디오","KOSPI","IT 서비스","3315","-35","-1.04","122866384290"
"039490","키움증권","KOSPI","증권","132400","3000","2.32","3379735874400"
"014580","태경비케이","KOSPI","비금속","4415","-40","-0.90","121779386500"
"015890","태경산업","KOSPI","화학","4825","-55","-1.13","141028718750"
"006890","태경케미컬","KOSPI","화학","11750","-40","-0.34","136300000000"
"003240","태광산업","KOSPI","화학","753000","8000","1.07","838390200000"
"011280","태림포장","KOSPI","종이·목재","2035","-20","-0.97","144090087900"
"004100","태양금속","KOSPI","운송장비·부품","2610","-80","-2.97","95787000000"
"004105","태양금속우","KOSPI","운송장비·부품","4240","-110","-2.53","13992000000"
"009410","태영건설","KOSPI","건설","3215","-25","-0.77","945446488970"
"009415","태영건설우","KOSPI","건설","7090","10","0.14","4608315660"
"001420","태원물산","KOSPI","운송장비·부품","3300","-40","-1.20","25080000000"
"055490","테이팩스","KOSPI","화학","13990","-70","-0.50","66727403500"
"078000","텔코웨어","KOSPI","IT 서비스","8800","-190","-2.11","81312677600"
"214420","토니모리","KOSPI","화학","9100","60","0.66","218898670900"
"019180","티에이치엔","KOSPI","전기·전자","3110","-10","-0.32","55980000000"
"363280","티와이홀딩스","KOSPI","기타금융","2275","-210","-8.45","114726584700"
"36328K","티와이홀딩스우","KOSPI","기타금융","3820","-375","-8.94","4748313480"
"091810","티웨이항공","KOSPI","운송·창고","2305","-10","-0.43","496448539680"
"004870","티웨이홀딩스","KOSPI","비금속","697","-2","-0.29","78874955318"
"034230","파라다이스","KOSPI","오락·문화","10790","240","2.27","990215812170"
"005690","파미셀","KOSPI","제약","11430","-190","-1.64","685993898520"
